x,y,z
-3.3874,-1.0162,0
-3.2842,-0.98527,0
-3.1898,-0.95694,0
-3.0696,-0.92089,0
-2.9958,-0.55,0
-2.9029,-0.85475,0
-2.7987,-0.8271,0
-2.6985,-0.81103,0
-2.6078,-0.75497,0
-2.5209,-0.731,0
-2.3937,-0.70656,0
-2.3043,-0.66102,0
-2.2385,-0.6589,0
-2.0998,-0.61201,0
-2.0041,-0.58973,0
-1.9192,-0.54795,0
-1.791,-0.52138,0
-1.7231,-0.50248,0
-1.6266,-0.47057,0
-1.508,-0.43629,0
-1.4143,-0.40397,0
-1.3311,-0.37016,0
-1.2176,-0.35602,0
-1.1221,-0.30629,0
-1.0305,-0.30456,0
-0.93114,-0.26395,0
-0.8314,-0.23408,0
-0.71496,-0.2088,0
-0.64198,-0.19412,0
-0.53281,-0.14251,0
-0.43807,-0.12003,0
-0.32772,-0.090709,0
-0.24458,-0.061215,0
-0.13967,-0.024793,0
-0.034643,0.0042681,0
0.059605,0.034746,0
0.13841,0.066847,0
0.25856,0.093764,0
0.36542,0.12612,0
0.45159,0.13844,0
0.56053,0.18574,0
0.63519,0.19374,0
0.75689,0.25233,0
0.85446,0.26671,0
0.94521,0.29762,0
1.0365,0.31929,0
1.1638,0.36147,0
1.2538,0.38696,0
1.3398,0.41281,0
1.4712,0.44641,0
1.5315,0.48139,0
1.6341,0.49711,0
1.7345,0.52956,0
1.8487,0.56236,0
1.9182,0.5906,0
2.0328,0.62602,0
2.1264,0.651,0
2.2222,0.68272,0
2.328,0.6888,0
2.4435,0.71796,0
2.5216,0.75972,0
2.6374,0.80417,0
2.7216,0.82207,0
2.8349,0.85142,0
2.9291,0.88652,0
3.0097,0.91725,0
3.1019,0.93494,0
3.2171,0.97391,0
3.3201,1.0194,0
3.4006,1.0337,0
3.5074,1.0564,0
