x_real,y_real,z_real
-3.5,-1.05,0
-3.4,-1.02,0
-3.3,-0.99,0
-3.2,-0.96,0
-3.1,-0.93,0
-3,-0.9,0
-2.9,-0.87,0
-2.8,-0.84,0
-2.7,-0.81,0
-2.6,-0.78,0
-2.5,-0.75,0
-2.4,-0.72,0
-2.3,-0.69,0
-2.2,-0.66,0
-2.1,-0.63,0
-2,-0.6,0
-1.9,-0.57,0
-1.8,-0.54,0
-1.7,-0.51,0
-1.6,-0.48,0
-1.5,-0.45,0
-1.4,-0.42,0
-1.3,-0.39,0
-1.2,-0.36,0
-1.1,-0.33,0
-1,-0.3,0
-0.9,-0.27,0
-0.8,-0.24,0
-0.7,-0.21,0
-0.6,-0.18,0
-0.5,-0.15,0
-0.4,-0.12,0
-0.3,-0.09,0
-0.2,-0.06,0
-0.1,-0.03,0
0,0,0
0.1,0.03,0
0.2,0.06,0
0.3,0.09,0
0.4,0.12,0
0.5,0.15,0
0.6,0.18,0
0.7,0.21,0
0.8,0.24,0
0.9,0.27,0
1,0.3,0
1.1,0.33,0
1.2,0.36,0
1.3,0.39,0
1.4,0.42,0
1.5,0.45,0
1.6,0.48,0
1.7,0.51,0
1.8,0.54,0
1.9,0.57,0
2,0.6,0
2.1,0.63,0
2.2,0.66,0
2.3,0.69,0
2.4,0.72,0
2.5,0.75,0
2.6,0.78,0
2.7,0.81,0
2.8,0.84,0
2.9,0.87,0
3,0.9,0
3.1,0.93,0
3.2,0.96,0
3.3,0.99,0
3.4,1.02,0
3.5,1.05,0
